S_type,E_type,S_speed,S_acc,D1,D2,Rs,B,F_type,Rf,Result
2,3,5.27,0.98,336.4,650.57,0.77,1,2,0.85,-1
3,0,12.74,-4.08,291.65,897.13,0.04,0,3,0.04,1
2,0,9.4,-0.32,412.17,64.85,0.84,0,2,0.84,-1
0,1,10.87,-4.2,996.07,162.55,0.64,1,1,0.62,-1
0,3,0.65,0.87,659.23,875.71,0.64,0,0,0.64,-1
2,0,1.43,-0.4,854.22,415.35,0.46,1,2,0.39,-1
3,3,10.28,0.84,189.48,252.7,0.91,1,2,0.01,1
2,3,8.49,0.09,1014.44,488.12,0.61,1,0,0.44,1
0,1,1.42,2.68,1064.45,915.27,0.63,0,0,0.63,1
1,2,6.25,-1.52,1147.15,1044.4,0.04,1,1,0.23,1
0,2,13.84,-0.4,867.8,191.16,0.03,0,0,0.03,1
0,3,12.81,-4.84,104.7,997.67,0.02,1,2,0.07,1
2,2,1.18,-3.12,807.44,421.52,0.94,0,2,0.94,-1
0,2,16.1,-0.12,885.22,1025.67,0.73,1,0,0.51,1
1,2,15.48,0.01,604.69,177.75,0.46,0,1,0.46,-1
0,3,7.76,0.3,1139.01,488.55,0.23,0,0,0.23,1
0,3,7.18,1.51,256.51,96.16,0.91,1,1,0.48,-1
2,0,17.03,-4.45,486.61,751.83,0.42,0,2,0.42,1
3,0,7.0,-2.05,449.51,1098.6,0.15,1,2,0.88,1
1,0,17.78,-2.93,82.27,44.18,0.22,0,1,0.22,1
1,3,15.29,-0.58,1036.58,527.15,0.7,1,2,0.11,1
3,3,13.68,-1.11,850.43,371.71,0.1,0,3,0.1,1
2,3,7.53,0.35,958.52,1110.33,0.76,1,1,0.11,1
1,3,14.16,-4.74,184.07,677.73,0.6,0,1,0.6,-1
2,1,8.0,-3.0,145.96,976.92,0.85,1,0,0.64,-1
0,2,13.81,-4.87,1179.92,1168.5,0.6,1,0,0.71,1
0,3,0.4,1.78,65.87,781.05,0.87,1,2,0.46,-1
2,1,9.02,-4.9,318.12,1053.82,0.33,1,1,0.95,1
2,0,12.06,0.66,281.0,1054.17,0.18,0,2,0.18,1
1,2,10.1,0.02,877.61,388.42,0.53,1,0,0.75,-1
1,2,13.19,-1.87,1157.51,604.2,0.49,0,1,0.49,1
0,2,1.59,1.09,453.56,786.29,0.75,0,0,0.75,-1
1,3,1.89,-2.79,34.54,125.29,0.66,0,1,0.66,-1
1,3,17.77,-0.24,762.32,193.33,0.03,1,2,0.2,1
3,3,14.57,-3.65,154.34,921.64,0.78,0,3,0.78,-1
1,1,11.96,0.83,399.68,300.2,0.07,0,1,0.07,1
0,1,10.68,1.17,882.94,737.14,0.91,1,1,0.36,-1
2,2,13.0,1.38,488.73,1054.12,0.22,0,2,0.22,1
2,1,8.7,-2.92,337.02,538.28,0.91,0,2,0.91,-1
2,0,7.32,-3.98,341.06,627.52,0.83,1,2,0.54,-1
2,2,16.39,0.96,1106.94,844.14,0.47,1,0,0.11,1
1,2,1.16,1.98,682.68,520.67,0.71,1,0,0.42,-1
2,0,15.36,2.16,939.71,948.59,0.88,1,0,0.83,1
3,2,3.58,0.85,275.42,388.65,0.2,1,2,0.04,1
3,3,13.22,-4.02,1136.65,275.61,0.1,0,3,0.1,1
1,2,8.82,-3.4,1182.67,57.25,0.96,0,1,0.96,1
3,1,1.25,-4.05,1119.16,1018.47,0.74,1,1,0.17,1
3,2,15.08,1.61,62.91,286.97,0.47,1,0,0.08,1
1,2,5.01,-2.05,436.96,190.65,0.48,1,2,0.01,1
2,0,5.89,-0.43,662.98,521.37,0.1,0,2,0.1,1
0,0,14.46,-4.88,531.18,100.9,0.95,0,0,0.95,-1
1,3,15.97,-0.28,558.67,330.7,0.07,1,2,0.83,1
2,3,13.62,-4.98,337.14,360.77,0.95,0,2,0.95,-1
1,3,1.45,-3.63,1167.79,474.82,0.75,1,1,0.18,1
1,3,17.19,1.49,634.49,1195.85,0.78,0,1,0.78,1
0,2,4.97,-2.83,1013.84,1100.15,0.25,1,2,0.9,1
3,2,8.97,0.37,1183.57,511.05,0.94,1,1,0.53,1
2,0,10.9,-3.66,313.47,214.13,0.73,0,2,0.73,-1
0,2,3.46,-2.23,939.73,179.58,0.12,1,2,0.43,1
1,1,4.55,-2.64,802.09,375.95,0.3,1,1,0.49,1
1,0,9.72,1.16,702.26,465.95,0.85,1,2,0.72,-1
3,0,4.5,2.48,925.98,649.18,0.66,0,3,0.66,1
1,1,2.27,-0.48,718.63,556.26,0.04,1,1,0.72,1
2,0,8.27,-1.78,957.99,1124.08,0.89,0,2,0.89,1
0,3,8.54,-0.98,267.93,814.67,0.44,1,1,0.93,-1
0,1,10.27,2.44,1019.83,619.98,0.16,0,0,0.16,1
1,0,10.49,-1.01,975.25,666.16,0.73,1,1,0.75,-1
